epoch,acc,loss,val_acc,val_loss
1,0.5201316,1.3465910952,0.3731579,1.3470523516
2,0.58894736,1.2837355255,0.41105264,1.3168605725
3,0.639079,1.2335417747,0.4163158,1.2949237386
4,0.65657896,1.1934200518,0.41789475,1.2773561557
5,0.6782895,1.1580878346,0.41842106,1.2633914153
6,0.70828944,1.1238960156,0.42526317,1.2513248881
7,0.7282895,1.0947017135,0.44894737,1.2400221149
8,0.7405263,1.0649201639,0.4536842,1.2304353793
9,0.75842106,1.0382668727,0.45473683,1.2223974466
10,0.77842104,1.0105570901,0.47157896,1.2146366914
11,0.7875,0.9843537938,0.4868421,1.2058523734
12,0.8005263,0.9580790058,0.49578947,1.1987564842
13,0.80723685,0.9340993082,0.50526315,1.1934732437
14,0.81473684,0.9117518301,0.51736844,1.1875583371
15,0.8206579,0.8894334397,0.5194737,1.1820970337
16,0.82776314,0.8692915484,0.52789474,1.1771559079
17,0.8313158,0.8482277383,0.5363158,1.1725854596
18,0.83447367,0.8304338129,0.5347369,1.1690589627
19,0.83407897,0.8129854774,0.5368421,1.1651359598
20,0.8363158,0.7949078416,0.5342105,1.1630326271
