ImageId,EncodedPixels
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 80220 8 80477 13 80736 15 80995 17 81255 17 81514 19 81774 19 82034 19 82294 19 82554 19 82814 18 83075 16 83336 14 83597 11 83860 5
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 19550 6 19808 9 20067 10 20327 10 20587 11 20847 11 21107 11 21367 11 21627 10 21888 9 22148 7
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 87263 13 87521 18 87779 21 88039 22 88298 23 88558 23 88818 23 89079 21 89341 18 89604 12
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 38059 3 38317 7 38576 9 38836 10 39095 13 39355 13 39614 15 39874 15 40134 16 40395 15 40655 15 40915 15 41175 16 41436 15 41696 15 41956 15 42217 14 42477 13 42738 12 42999 10 43260 8 43522 4
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 36986 9 37245 12 37505 14 37764 18 38024 20 38284 21 38544 21 38805 21 39065 22 39326 21 39586 21 39847 20 40108 19 40368 19 40630 17 40891 15 41152 13 41414 10 41676 6
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 73477 3 73734 8 73992 11 74250 14 74508 17 74767 18 75026 19 75285 20 75545 20 75804 20 76064 20 76323 20 76583 19 76843 18 77103 17 77363 15 77624 13 77885 10 78147 6
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 10611 4 10869 7 11128 9 11387 11 11646 13 11906 13 12166 14 12426 15 12686 15 12946 16 13206 16 13466 17 13727 16 13987 17 14248 15 14509 14 14771 11 15033 7
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 62197 6 62453 13 62711 16 62971 18 63230 20 63490 20 63750 21 64011 20 64271 21 64533 19 64794 18 65055 17 65316 16 65578 13 65839 12 66100 10 66363 5
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 64838 6 65096 12 65355 14 65614 17 65874 17 66134 18 66394 18 66654 18 66914 18 67175 17 67436 15 67698 12 67961 7
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 16203 6 16461 9 16720 10 16980 11 17240 11 17499 12 17759 12 18019 12 18279 12 18539 12 18799 12 19060 11 19320 10 19581 8 19843 4
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 66868 6 67127 9 67385 13 67644 15 67904 16 68163 18 68423 18 68683 19 68942 20 69202 20 69462 20 69723 18 69984 16 70246 12 70508 7
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 28401 5 28660 7 28920 7 29179 8 29439 8 29699 8 29959 8 30219 8 30481 4
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 14842 9 15099 12 15358 14 15617 15 15876 15 16136 15 16395 16 16655 15 16915 14 17175 13 17436 11 17696 9 17958 5
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 12986 3 13244 7 13503 10 13762 14 14022 15 14282 16 14542 16 14803 16 15063 16 15324 15 15585 15 15845 15 16106 14 16367 13 16628 12 16888 12 17149 11 17409 11 17670 10 17931 9 18192 8 18453 6 18714 4
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 979 12 1237 15 1496 16 1755 17 2014 18 2274 17 2534 16 2795 14 3056 11 3319 6
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 31162 1 31419 6 31678 8 31937 10 32197 11 32456 13 32716 13 32976 14 33236 14 33497 13 33757 13 34017 13 34278 12 34538 11 34800 8 35063 3
43a71aeb641faa18742cb826772a8566c6c947d7050f9ab15459de6cc2b3b6af, 44558 7 44814 13 45072 16 45332 16 45591 16 45851 15 46111 14 46372 11 46634 6
